# Private-history -> public-history commit-SHA map
#
# This repository was published via a one-time git-filter-repo pass that
# redacted two live Signal account identifiers from an ops log (see the
# 'redact live ACIs' commit). Rewriting changed every subsequent commit
# SHA, but tickets and docs throughout docs/plan/ cite the ORIGINAL SHAs
# as stable anchors. This map resolves them: '<original> <published>'.
# Look up an unknown SHA from any doc with: grep <sha-prefix> docs/history-sha-map.txt
old                                      new
53871254cd5e823b4221e442e30a5a5e110552e4 53871254cd5e823b4221e442e30a5a5e110552e4
5dbc6023ed3ae3286b1e4bc2359be207f039cc85 5dbc6023ed3ae3286b1e4bc2359be207f039cc85
5c6ba377816341e77a6e3e456e098bf67f38f1b2 5c6ba377816341e77a6e3e456e098bf67f38f1b2
e47964c2e8c9253e7105987be23a36d0c1b927ce e47964c2e8c9253e7105987be23a36d0c1b927ce
2c6305351bd4778a7881cb9ee9ffb6ee822bc842 2c6305351bd4778a7881cb9ee9ffb6ee822bc842
18f1d89350230fb7ab16db3cb440df2d5ac12593 18f1d89350230fb7ab16db3cb440df2d5ac12593
fd75e7966178720648f391fb8d4895ca9ba4ce3e fd75e7966178720648f391fb8d4895ca9ba4ce3e
3a2f572d2f137cefe93fd7e733d0042d3b8df470 3a2f572d2f137cefe93fd7e733d0042d3b8df470
694a4d27fa96302b17b44fd0395dbafcc3181186 694a4d27fa96302b17b44fd0395dbafcc3181186
e98d89deb4ea26593cea03cfd7ee8cd2ef9a2f8a e98d89deb4ea26593cea03cfd7ee8cd2ef9a2f8a
110a0cb350e8e86367a379d38f583c6e9d811a33 110a0cb350e8e86367a379d38f583c6e9d811a33
0bce0f289dfb45e4127102e08805ddf70aaa54d5 0bce0f289dfb45e4127102e08805ddf70aaa54d5
b840df78c2226cc363558b87ff3aef10f54d8974 b840df78c2226cc363558b87ff3aef10f54d8974
033327f58378d454e639e6676ddf26f4edf0a9b1 033327f58378d454e639e6676ddf26f4edf0a9b1
57d521198521d9a5638f604ff2569156cf38aa72 57d521198521d9a5638f604ff2569156cf38aa72
a199a53bb9f3b9450a44d217337f804ecb94de1e a199a53bb9f3b9450a44d217337f804ecb94de1e
e1535bf6a952676af66d7022554eba25f25cd22e e1535bf6a952676af66d7022554eba25f25cd22e
0bfaf6a387f33d93302cafe2f13a76b7a8a994b6 0bfaf6a387f33d93302cafe2f13a76b7a8a994b6
1f6d5eda7fd63be96259e9c0098facf1eec17663 1f6d5eda7fd63be96259e9c0098facf1eec17663
d2bea4479e0d30bda609f81866dba2cc53570cd3 d2bea4479e0d30bda609f81866dba2cc53570cd3
d786a6076a141733a44310fd1dabca234d329721 d786a6076a141733a44310fd1dabca234d329721
f37ffd1e5d34aaa4fcb0bea8af2319879ed3bcec f37ffd1e5d34aaa4fcb0bea8af2319879ed3bcec
1226c6122ba20ff7b94fa795cc913c649eafbcd2 1226c6122ba20ff7b94fa795cc913c649eafbcd2
48414df6cad8faaad74e48d9aa8c7f12cbd58a48 48414df6cad8faaad74e48d9aa8c7f12cbd58a48
1dcc4428d65b449bf590a2d36ef5766b40c41435 1dcc4428d65b449bf590a2d36ef5766b40c41435
86a290b06b5f8a60edccdab6d5492acd0538ed82 86a290b06b5f8a60edccdab6d5492acd0538ed82
0a15e2dec056b9e3b9becea2bd1a785d490e8636 0a15e2dec056b9e3b9becea2bd1a785d490e8636
d1ad8da76edff7f7dd8430f7f2ee125fbd638c24 d1ad8da76edff7f7dd8430f7f2ee125fbd638c24
6969b19b08fa47ef21f7e45780773c8cf289dbbf 6969b19b08fa47ef21f7e45780773c8cf289dbbf
b003c94632a6ce15630669b032fa3f8a1c14c539 b003c94632a6ce15630669b032fa3f8a1c14c539
71c25e6ff2a6949d1f51b1d5cc0f4c64997c1a60 71c25e6ff2a6949d1f51b1d5cc0f4c64997c1a60
77cecdd21bc1058cb7d6e53e8db9a909b19f7d2b 77cecdd21bc1058cb7d6e53e8db9a909b19f7d2b
c2605235efb8c509f62a3a9ae938bc41a059e753 c2605235efb8c509f62a3a9ae938bc41a059e753
5fe75ddc9015e760c67f005c841e842bb954bced 5fe75ddc9015e760c67f005c841e842bb954bced
25e61118d2bea437fa1b603156c7ab83b569d0b6 25e61118d2bea437fa1b603156c7ab83b569d0b6
0ff212515cd5ec3eb7790d460062db41fadd95f4 0ff212515cd5ec3eb7790d460062db41fadd95f4
86455ecb3759e58e3cf303b7ea8d480ef0bd33e9 86455ecb3759e58e3cf303b7ea8d480ef0bd33e9
54aa549a90b0810effdb27339cc4e5b4f1b5eb71 54aa549a90b0810effdb27339cc4e5b4f1b5eb71
df51c8da99fc9f0ea2384a792dd0c07a57dc0ae5 df51c8da99fc9f0ea2384a792dd0c07a57dc0ae5
4b8da652552df3c66c7d2395145424c666df5b34 4b8da652552df3c66c7d2395145424c666df5b34
0f18f281b418123536f1e7eb6b43feb0865f48f2 0f18f281b418123536f1e7eb6b43feb0865f48f2
77f02bf2924c6318d71f4b4f1b77f1e844c0c0ef 77f02bf2924c6318d71f4b4f1b77f1e844c0c0ef
a13fbd16f6e993c56aee2a6ea22cf1f3e1a7e2dd a13fbd16f6e993c56aee2a6ea22cf1f3e1a7e2dd
20b0756d58560474a8939bde87c89af54f76a624 20b0756d58560474a8939bde87c89af54f76a624
670704bcaf06ca0dea1459a541d7678f410f3b64 670704bcaf06ca0dea1459a541d7678f410f3b64
b3af9b6a62abaa7003dd90906f64cddf01ac4f40 b3af9b6a62abaa7003dd90906f64cddf01ac4f40
ae12bd6743a6dca2ef62f1c492cb8bbe3c412497 ae12bd6743a6dca2ef62f1c492cb8bbe3c412497
e4c17aabcfc188541d2ff76560487261c70d0cae e4c17aabcfc188541d2ff76560487261c70d0cae
695f048990d1d589d0e25e70b948879be4251d3e 695f048990d1d589d0e25e70b948879be4251d3e
08da4d9f60b0585a39fdda00c3e19e9d25d997cf 08da4d9f60b0585a39fdda00c3e19e9d25d997cf
a3ded94b3550651a87cf9ad668bd388e5715fc16 a3ded94b3550651a87cf9ad668bd388e5715fc16
bb252eea070be26f39ecdcc1dc4408e0df631de0 bb252eea070be26f39ecdcc1dc4408e0df631de0
c1dc6ec1a4c8876dad1dc0723114db2a8ea9e1c7 c1dc6ec1a4c8876dad1dc0723114db2a8ea9e1c7
0d17a30543feb7bb197dff7e3c2ad775b0a9521f 0d17a30543feb7bb197dff7e3c2ad775b0a9521f
db8aaa46a8ef363e7b056ec1af7c58c0d6c5f118 db8aaa46a8ef363e7b056ec1af7c58c0d6c5f118
8fa9db0a4cd11606043718f0bf8cbd149e8068bf 8fa9db0a4cd11606043718f0bf8cbd149e8068bf
5c911a434f41ab74b7592bdebe6acfb0a0dd383d 5c911a434f41ab74b7592bdebe6acfb0a0dd383d
af30a4f475a47bf9d7921f049235a7d4dc8ce8fd af30a4f475a47bf9d7921f049235a7d4dc8ce8fd
56b9dd118eb43033ad9e579c1a1549f2970a505e 56b9dd118eb43033ad9e579c1a1549f2970a505e
8da2f6a615e3c69e4852d57ab37ec4191fad251c 8da2f6a615e3c69e4852d57ab37ec4191fad251c
3f14519b167d0611d0f45aae18f49fad5a447003 3f14519b167d0611d0f45aae18f49fad5a447003
1f4f3dea6a8f2e9d510ac80e90c75128e8b957b6 1f4f3dea6a8f2e9d510ac80e90c75128e8b957b6
d93d3a8226adb2e97d5d5e18488e2a71212e68c8 d93d3a8226adb2e97d5d5e18488e2a71212e68c8
0b326acc458354f767394fc77f931e8665e17819 0b326acc458354f767394fc77f931e8665e17819
91a8b4be6e3ab2e92d4f1e081640f4621f376f88 91a8b4be6e3ab2e92d4f1e081640f4621f376f88
6d9cd4f48d874eddff676643424e43389752dea3 6d9cd4f48d874eddff676643424e43389752dea3
060fc3b8f941df14d8b638bb54e5ab4aa9f2a51b 060fc3b8f941df14d8b638bb54e5ab4aa9f2a51b
0d8c0669f4b604dcb17947886ef1a442b184c16f 0d8c0669f4b604dcb17947886ef1a442b184c16f
c65ee9af654adc9c9a27c1ef81335d98db519207 c65ee9af654adc9c9a27c1ef81335d98db519207
eaf52ca4011fea66476379f5320a2b2c77127bc2 eaf52ca4011fea66476379f5320a2b2c77127bc2
030a6176f7155783e613ef67398000ca8fb5f749 030a6176f7155783e613ef67398000ca8fb5f749
f337313239405d7824a3fc243bae8a06ab94c2bc f337313239405d7824a3fc243bae8a06ab94c2bc
8e5d65f5e601065ae877bd38e0ec6452e31d6ef0 8e5d65f5e601065ae877bd38e0ec6452e31d6ef0
5a1207c27f2108046ec0c868ca22c3d43138e933 5a1207c27f2108046ec0c868ca22c3d43138e933
1fb798cf1cb67cdcc9578ae2525836af6908887c 1fb798cf1cb67cdcc9578ae2525836af6908887c
c3559b52f693fd0adbe85d3307affb574c42be2d c3559b52f693fd0adbe85d3307affb574c42be2d
9e69a92a6c010e88b99c5d8f19bd685c2eaef3c8 9e69a92a6c010e88b99c5d8f19bd685c2eaef3c8
0e74a0daa2bb37ab5dc013b09b3152a2a4c2f8a7 0e74a0daa2bb37ab5dc013b09b3152a2a4c2f8a7
041a751fd32572a6f5b0380df672d2d852647c76 041a751fd32572a6f5b0380df672d2d852647c76
e91991e5a2b3a512924b78815a5fbce412ca93d0 e91991e5a2b3a512924b78815a5fbce412ca93d0
4b79d3740708ba01157707008f236dbf187cf999 4b79d3740708ba01157707008f236dbf187cf999
